# Time-averaged data for fix rdf_output
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
100 100
30 2.065 0 0
31 2.135 0 0
32 2.205 0 0
33 2.275 0.0125346 0.0015625
34 2.345 0.0176963 0.00390625
35 2.415 0.0333707 0.00859375
36 2.485 0.147081 0.0304687
37 2.555 0.233544 0.0671875
38 2.625 0.428387 0.138281
39 2.695 0.754786 0.270313
40 2.765 1.14559 0.48125
41 2.835 1.42874 0.757812
42 2.905 2.08336 1.18125
43 2.975 2.35666 1.68359
44 3.045 2.57142 2.25781
45 3.115 2.53739 2.85078
46 3.185 2.67651 3.50469
47 3.255 2.47996 4.1375
48 3.325 2.30916 4.75234
49 3.395 1.94193 5.29141
50 3.465 1.86696 5.83125
51 3.535 1.77818 6.36641
52 3.605 1.32042 6.77969
53 3.675 1.25859 7.18906
54 3.745 1.01306 7.53125
55 3.815 0.99406 7.87969
56 3.885 0.911279 8.21094
57 3.955 0.943596 8.56641
58 4.025 0.828966 8.88984
59 4.095 0.769917 9.20078
60 4.165 0.742385 9.51094
61 4.235 0.727091 9.825
62 4.305 0.710639 10.1422
63 4.375 0.703334 10.4664
64 4.445 0.753597 10.825
65 4.515 0.708133 11.1727
66 4.585 0.749943 11.5523
67 4.655 0.727558 11.932
68 4.725 0.839838 12.3836
69 4.795 0.88463 12.8734
70 4.865 0.997786 13.4422
71 4.935 0.986997 14.0211
72 5.005 1.02174 14.6375
73 5.075 1.08192 15.3086
74 5.145 1.06371 15.9867
75 5.215 1.24408 16.8016
