################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3069908459591207E-01 a       433     0    22     1    13
  2.7803118990641396E-01 a       434     0    22     1    14
 -2.7943421085057424E-01 a       435     0    22     1    15
 -2.8039999738144550E-01 a       436     0    22     1    16
 -7.2522686200847425E-02 a       437     0    22     1    17
 -2.4754942288584317E-01 a       438     0    22     1    18
 -1.8063151751376136E-01 a       439     0    22     1    19
 -1.8836117874950939E-01 a       440     0    22     1    20
  2.7211662279647586E-01 a       441     0    23     1     1
  5.1547466026930433E-01 a       442     0    23     1     2
  1.6183101871598964E+00 a       443     0    23     1     3
 -1.3382111468857942E+00 a       444     0    23     1     4
  6.0063711625990779E-01 a       445     0    23     1     5
  1.8031952232631325E+00 a       446     0    23     1     6
 -7.0468534398690152E-01 a       447     0    23     1     7
  2.6002582176787931E-01 a       448     0    23     1     8
 -2.5685786129573551E-01 a       449     0    23     1     9
 -2.9523684615333616E+00 a       450     0    23     1    10
 -1.6770618139261178E+00 a       451     0    23     1    11
  6.7092559425878540E-01 a       452     0    23     1    12
 -1.0739298276514009E+00 a       453     0    23     1    13
  1.8725619630839561E+00 a       454     0    23     1    14
  7.9591342864415671E+00 a       455     0    23     1    15
 -6.0785279852496465E+00 a       456     0    23     1    16
  9.7604310492724486E-02 a       457     0    23     1    17
  1.0297180648139785E+00 a       458     0    23     1    18
 -1.4018127951161914E+00 a       459     0    23     1    19
  5.4844599082402357E-01 a       460     0    23     1    20
 -2.3369884728331765E+00 a       461     0    24     1     1
 -3.9374293103056940E-01 a       462     0    24     1     2
  9.9101144999644142E-01 a       463     0    24     1     3
 -2.1968872540163056E+00 a       464     0    24     1     4
  1.0252879262062381E-01 a       465     0    24     1     5
 -7.7095193654040428E-01 a       466     0    24     1     6
 -8.9330757971706032E-01 a       467     0    24     1     7
 -4.6885951325828951E-01 a       468     0    24     1     8
  2.3791950715664137E-01 a       469     0    24     1     9
 -1.0853323948577216E+00 a       470     0    24     1    10
  2.9051360083412638E+00 a       471     0    24     1    11
  1.4874693471523679E+00 a       472     0    24     1    12
 -1.4056854361404860E+00 a       473     0    24     1    13
 -1.1490545165081230E-01 a       474     0    24     1    14
  1.8144970773442967E-01 a       475     0    24     1    15
 -7.6475778516527870E-01 a       476     0    24     1    16
  1.0686432560726862E+00 a       477     0    24     1    17
 -2.4603068565843649E+00 a       478     0    24     1    18
 -8.6536779125558572E-01 a       479     0    24     1    19
 -5.6010796104050431E-01 a       480     0    24     1    20
 -2.0956472200658034E+00 a       481     0    25     1     1
  1.1036413379042531E+00 a       482     0    25     1     2
 -1.5596067322798601E+00 a       483     0    25     1     3
  1.7324880253538719E+00 a       484     0    25     1     4
  9.7891135651410366E-01 a       485     0    25     1     5
  2.1445126930290699E+00 a       486     0    25     1     6
  5.4030874976533881E-02 a       487     0    25     1     7
 -5.1607551828356180E-01 a       488     0    25     1     8
 -8.5777411823974622E-02 a       489     0    25     1     9
  9.1123788410557871E-01 a       490     0    25     1    10
 -3.0645862143535063E+00 a       491     0    25     1    11
 -1.1631033890842357E+00 a       492     0    25     1    12
 -1.2571694214048079E-01 a       493     0    25     1    13
  4.5617856375414236E+00 a       494     0    25     1    14
  1.7793503924016119E+00 a       495     0    25     1    15
  1.4068859660791400E+00 a       496     0    25     1    16
 -6.3843279242869100E-01 a       497     0    25     1    17
  8.5005903066376665E-01 a       498     0    25     1    18
 -1.8017552778986954E+00 a       499     0    25     1    19
 -6.9246105204277697E-01 a       500     0    25     1    20
 -4.1201676637358736E-01 a       501     0    26     1     1
  1.1116173847699244E-01 a       502     0    26     1     2
